19066;BIOGEN SPAIN S.L.;Paseo de la Castellana, 41 1ª planta;28046;Madrid
19632;ZAPHYR PHARMACEUTICALS IRELAND LIMITED;Suite 6, Rineanna House, Shannon Free Zone;NA;Co Clare
19792;NOVARTIS INFLUENZA VACCINES MARBURG GMBH;Emil-von-Behring-Strabe 76;;Marburg
19807;SWEDISH ORPHAN BIOVITRUM S.L.;C/Pedro Teixeira, 8 - 2ª planta;28020;Madrid
20006;SMARTPRACTICE DENMARK APS;Herredsvejen 2;3400;Hillerød
20303;GLAXOSMITH KLINE LTD;Tsarigradsko Shose Blvd. 115 G, Floor 9, Mladost Region;1784;SOFIA
20363;MACLEODS PHARMA ESPAÑA S.L.U.;Avenida Diagonal, 468 6º puerta A;8006;Barcelona
20366;FARMALIDER S.A.;C/La Granja, 1 3ª planta;28108;Alcobendas (Madrid)
20578;DESMA LABORATORIO FARMACEUTICO S.L.;Paseo de la Castellana 121, escalera derecha, 6ºB;28046;Madrid
27554;UNIPHARMA S.A.;Calle Lagasca, 26. Esc. Derecha. 1º;28001;MADRID
27678;ADVENTIA PHARMA S.L.;Calle San Bernardo 22, 1º;35002;Las Palmas de Gran Canaria
27737;INTAS THIRD PARTY SALES 2005 S.L.;World Trade Center, Moll Barcelona s/n, Edifici Est, 6ta. Planta;8039;BARCELONA
137;LABORATORIOS ALTER S.A.;Mateo Inurria, 30;28036;Madrid
238;ASTRAZENECA FARMACEUTICA SPAIN S.A.;Serrano Galvache, 56 - Edificio Roble Parque Norte;28033;Madrid
445;BIOMENDI S.A.;Poligono Industrial de Bernedo s/nº;1118;Bernedo (Alava)
732;COVEX S.A.;Acero, 25;28770;Colmenar Viejo (Madrid)
791;DERMOFARM S.A.;Rosalía de Castro, 18;8025;BARCELONA
1016;FARMALIDER S.A.;San Rafael, 3;28108;Alcobendas (Madrid)
1236;GRÜNENTHAL GMBH;Zieglerstrasse, 6;52078;AACHEN
1393;INKEYSA S.A.;Juan  XXIII,  15 - 19,  3ª  planta;8950;Esplugas  de  Llobregat (Barcelona)
1436;INTERPHARMA S.A.;Santa Rosa, 6.;8921;Santa Coloma de Gramanet (Barcelona)
2217;LABORATORIOS PHERGAL S.A.;Hierro, 79;28850;Torrejón de Ardoz (Madrid)
2270;TOLL MANUFACTURING SERVICES S.L.;Aragoneses, 2 Poligono Industrial Calabozos;28108;Alcobendas (Madrid)
2359;RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.;Via Matteo Civitali, 1;I-20148;Milan
2488;LABORATORIOS FARMACEUTICOS ROVI S.A.;Julian Camarillo, 35;28037;Madrid
2798;STIEFEL LABORATORIES LEGACY (IRELAND) LIMITED;Finisklin Industrial Estate;Desconocid;Sligo
2850;SYNTHON B.V.;Microweg, 22, P.O.Box 7071;NL-6545 CM;Nijmegen, Gelderland
2959;UCB PHARMA;Chemin du Foriest (Braine L'''' Alleud);B-1420;Braine L´Alleud
3776;LABORATORIOS VIIV HEALTHCARE S.L.;Severo Ochoa, 2;28760;Tres Cantos-Madrid
3796;MEDICALIA, S.L.;Collado Mediano s/n;28230;Las Rozas (Madrid)
1605;LACER S.A.;Sardenya, 350;8025;Barcelona
1625;LAVIPHARM S.A.;C. Agias Marinas St. P.O. Box 59;190 02;Peania Attica
1640;LABORATORIO DE ESPECIALIDADES NACIONALES S.A.;Potosi, 2 - 4ª;8030;Barcelona
1673;LILLY S.A.;Avda. de la Industria, 30;28108;Alcobendas (Madrid)
1711;DR REDDY'S LABORATORIES (UK) LIMITED;6 Riverview Road;HU17 0LD;Beverley, East Yorkshire
1786;MEDICHEM S.A.;Fructuos Gelabert, 6-8;8970;Sant Joan Despi (Barcelona)
1854;MIZAR FARMACEUTICA S.L.;Gran Via de les Corts Catalanes, 764;8013;Barcelona
1896;LABORATOIRES NEGMA;Immeuble Strasbourg-Avenue de lEurope Toussus-le-Noble;F-78771;Magny-les Hameaux Cedex
14995;MEDA PHARMACEUTICALS S.A.;Evritanias, 3;152 31;Halandri, Attiki
15005;CENINTER S.A.;Avda. San Pablo, 27;28832;Coslada
15022;JUSTE S.A. QUIMICO FARMACEUTICA;Avda. San Pablo, 27;28823;Coslada
15135;HAELSA PHARMA GMBH;Nikolaus Dorkopp Str. 4a;33602;Bielefeld
15228;LABORATORIOS FRANCISCO DURBAN S.A.;Calle IX nº 2. Pol. Ind. La Redonda;4710;El Ejido ALMERIA
15601;LABORATORIOS EFFIK SOCIEDADE UNIPESSOAL LDA.;Rua Consiglieri Pedroso, 123 Queluz de Baixo;2730-056;Barcarena
15979;TAKEDA PHARMA A/S;Dybendal Alle 10;2630;Taastrup
71;LABORATOIRE AGUETTANT;1, Rue Alexander Fleming;69007;Lyon
284;AVENTIS PHARMA LIMITED;Rainham Road South;-;Dagenahm, Essex
289;AVENTIS PHARMA, S.A.;Avda. de Leganes, 62;28925;Alcorcón (Madrid)
306;B BRAUN MEDICAL S.A.;Ctra. de Terrassa, 121.;8191;Rubi (Barcelona)
318;BAMA GEVE, S.A.;Avda. Diagonal, 490;8006;Barcelona
529;LABORATORIOS BRUM S.A.;Quevedo, 4;33012;Oviedo (Asturias)
689;CIS BIO INTERNATIONAL;Route Nationale 306, Saclay BP 32;F-91192;Gif-Sur-Yvette Cedex. Saclay
769;DANVAL S.A.;Avda. de los Madroños, 33;28043;Madrid
867;DR. WILLMAR SCHWABE GMBH & CO. KG;Willmar-Schwabe-Strasse, 4;D-76227;Karlsruhe
1046;FERRER INTERNACIONAL S.A.;Joan Buscalla, 1-9;8173;Sant Cugat del Valles (Barcelona)
2085;PAN QUIMICA FARMACEUTICA S.A.;Rufino Gonzalez, 50.;28037;Madrid
2162;PHARMA INTERNATIONAL S.A.;General Oraa, 70;28006;Madrid
2204;PHARMAGENUS S.A.;Passeig de Gracia, 55 5º 1ª.;8007;Barcelona
2684;SMALLER, S.A.;SAGITARIO, 14;3006;Alicante
2784;LABORATORIOS SPYFARMA, S.A.;Crta. Sevilla Malaga, Km 5,5.;41500;Alcalá de Guadaíra (Sevilla)
2887;LABORATORIOS TECNOBIO S.A.;Ronda General Mitre, 151;8022;Barcelona
2939;TOSARA PHARMA LIMITED;Baldoyle Industrial Estate, Grange Road;13;Dublin
3039;VIAMEDICA, S.L.;Recoletos, 19;28100;Madrid
3046;VINCI FARMA, S.A.;Avda. de Europa, 20 B;28108;Alcobendas (Madrid)
3525;LABORATORIOS BELMAC S.A.U.;Teide, 4-planta baja. Poligono Empresarial La Marina;28703;San Sebastián de los Reyes (Madrid)
4917;SANOCHEMIA PHARMAZEUTIKA AG;Boltzmanngase, 11;A-1090;Alsergrund. Viena
5127;GLAXO S.A.;Severo Ochoa, 2;28760;Tres Cantos (Madrid)
5190;ANARTIS S.L.;Avda. Dr. Arce, 14;28002;Madrid
5315;PFIZER B.V.;Rivium Westlaan 142;NL-2909 LD;Capelle a/d Ijssel
5361;GILEAD SCIENCES INTERNATIONAL LIMITED;Granta Park. Abington;CB216GT;Cambridge
5398;CHIESI ESPANA S.A.;Berlin, 38-48, 7ª planta;8029;Barcelona
5695;M4 PHARMA S.L.;Marroc, 200;8019;Barcelona
5964;GLAXOSMITHKLINE CONSUMER HEALTHCARE, S.A.;Severo Ochoa, 2 P.T.M.;28760;Tres Cantos (Madrid)
6365;TIEDRA FARMACEUTICA S.L.;Colon, 7;30510;Yecla (Murcia)
6378;PREMIUM PHARMA S.L.;Avda. Pío XII, 92. Ed. Ural. Planta 16;28036;Madrid
1117;LABORATORIOS FROSST S.A.;Josefa Valcarcel, 38;28027;Madrid
1234;LABORATORIOS GRIFOLS S.A.;Can Guasch, 2. Poligono Levante;8150;Parets del Vallès (Barcelona)
1481;J. Y A. SABATER Y CIA, S.L.;Los Centelles, 7;46006;Valencia (Valencia)
1622;LABORATORIOS LAREQ PHARMA S.L.;Laguna, 66-68-70. Poligono Industrial Urtinsa II;28923;Alcorcón (Madrid)
1651;LES LABORATOIRES SERVIER;22, Rue Garnier;F-92200;Neuilly sur Seine
1769;MDS NORDION, S.A.;Industrial Zoning- Avenue de lEsperance-;B-6220;Fleurus
15183;OTSUKA PHARMACEUTICAL EUROPE LIMITED;Gallions, Wexham Springs, Framewood Road;SL3 6PJ;Wexham
15522;SWEDISH ORPHAN BIOVITRUM AB (PUBL);Tomtebodavagen 23A;SE-112 76;Stockholm
11006;COLL FARMA S.L.;Frederic Mompou, 3 - 4º A;8960;Sant Just Desvern
11046;OXIPHARMA S.L.;Pol. Industrial Leutiscares, Parc, 18;26320;Navarrete-La Rioja (La Rioja)
11112;SANOFI AVENTIS;Syngoru Avenue 348, Building A;176 74;Athens, Kallithea
11187;XELLIA PHARMACEUTICALS APS;Dalslandsgade 11;DK-2300;Copenhagen
11331;BAYER PORTUGAL LDA.;Rua Quinta do Pinheiro, n 5;2794-003;Carnaxide
11395;STIEFEL FARMA S.A.;P.T.M. C/ Severo Ochoa, 2;28760;Tres Cantos, Madrid
11470;BIONORICA SE;Kerschensteinerstrasse, 11-15;92318;Neumarkt in der Oberpfalz
11538;BIO PRODUCTS LABORATORY LIMITED;Dagger Lane, Elstree;WD6 3BX;Hertfordshire, Reino Unido
11601;NTC S.R.L.;Via Luigi Razza, 3;20124;Milano
11630;PARI PHARMA GMBH;Moosstrasse 3;82319;Starnberg, Germany
11954;RATIOPHARM ESPANA S.A.;C/ Anabel Segura 11, Edificio Albatros B 1ª Planta;28108;Alcobendas (Madrid)
11967;PFIZER HELLAS S.A.;Leoforos Messogion 243;154 51;Neo Psichiko, Attica
12061;GENFARMA LABORATORIO S.L.;Avd. Constitucion n 198, Pol. Industrial Monte Boyal;45950;Casarubios del Monte, Toledo (Toledo)
12386;VENTER PHARMA S.L.;Almagro 1, 1º dcha;28010;Madrid
12478;ALFA WASSERMANN S.P.A.;Via Enrico Fermi, 1;65020;Alanno
12489;BAYER PHARMA AG;Muellerstrasse, 170-178;13353;Berlin
12715;INIBSA HOSPITAL, S.L.U.;Ctra Sabadell-Granollers, km 14,5.;8185;Lliça de Vall (Barcelona)
12812;IPSEN PHARMA S.A.;Torre Realia, Plaza de Europa, 41-43;8908;L' Hospitalet de Llobregat (Barcelona)
7048;LABORATORIOS VENDRELL, S.A.;C/ Sumoi, 8. P.I. El Clot de Moja;8734;Olerdola (Barcelona)
7070;KRKA-POLSKA SP. Z O.O.;ul. Rownolegla 5;PL 02-235;Varsovia
7100;QUALITEC EUROPA, S.L.;Ochandiano, 10. C.E. El Plantío, Edificio 10, 1ª Planta;28023;Madrid
7122;LABORATORIOS MILO S.A.;Los Angeles, 60. Pol. Ind. Centrovia;50196;La Muela. Zaragoza
7341;CHEMI S.P.A.;Via dei Lavoratori 54;I-20092;Cinisello Balsamo, Milan
7624;NOVARTIS EUROPHARM LIMITED;Winblehurst Road;RH12 5AB;Horsham, West Sussex
7728;INSTITUTO TECNOLOGICO PET S.A.;Manuel Bartolome Cossio, 10;28040;Madrid
7808;PROSTRAKAN FARMACEUTICA, S.L.;Avda. Burgos, 17 - 1ª Planta;28036;Madrid
7884;AMGEN EUROPE B.V.;Minervum 7061;NL-4817 ZK;BREDA
7964;BETAPHARM ARZNEIMITTEL GMBH;Kobelweg 95;86156;Augsburg
8034;LABORATORIOS COMBIX S.L.;San Rafael, 3. Pol. Industrial Alcobendas;28108;Alcobendas (Madrid)
8055;VEMEDIA MANUFACTURING B.V.;Verrijn Stuartweg 60, P.O Box 171;1112 AX;Diemen, Noord-Holland
8285;PHARMIS BIOFARMACEUTICA S.L.;General Yagüe, 52 - 1º D;28020;Madrid
8295;SANOFI AVENTIS S.A.;Josep Pla, 2;8019;Barcelona
8297;NORGINE PHARMA;2 Rue Jacques Daguerre;92565;Rueil Malmaison Cedex
8352;FARLINE COMERCIALIZADORA DE PRODUCTOS FARMACEUTICOS S.A.;Santa Engracia, 31;28010;Madrid
8433;PHARMA STULLN GMBH;Werksstrasse, 3;92551;Stulln
8472;CHEMISCHE FABRIK KREUSSLER & CO GMBH;Rheingaustrasse, 87-93. Biebrich;65203;Wiesbaden
8994;LABORATORIOS VICKS S.L.;Avda. de Bruselas, 24;28108;Alcobendas (Madrid)
9295;FLYNN PHARMA LIMITED;Alton House, 4. Herbert Street;2;Dublín
9542;SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT;174 Avenue de France;75013;París
9766;MEDIWIN LIMITED;Unit 12-13 Martello Interprise Centre;BN17 7PA;Courtwick Lane
9999;INFORMACION NO DISPONIBLE;Desconocida;Desconocid;Desconocida
10151;ACTAVIS SPAIN S.A.;Perú, 8;28290;Las Matas Madrid
10166;EUROCEPT INTERNATIONAL B.V.;Trapgans, 5;1244 RL;Ankeveen
10258;IPSEN PHARMA;65, Quai Georges Gorse;92100;Boulogne-Billancourt
10418;MERZ PHARMA GMBH & CO. KGAA;Eckenheimer Landstrasse, 100;D-60318;Frankfurt-Main
10471;RANBAXY (UK) LTD;Building 4, Chiswick Park, 566 Chiswick High Road;W4 5YE;London
13097;SHIRE PHARMACEUTICALS IBERICA S.L.;Avda del Partenon 16-18, 4ª planta;28042;Madrid
13122;PHARMADIET, S.L.U.;C/ Blanquers, 85;17820;Banyoles
13686;VERSALYA PHARMA S.L.;San Rafael, 3;28108;Alcobendas (Madrid)
13815;TECSOLPAR S.A.;Parque Tecnologico de Asturias parcelas 19,20 y 23;33428;Llanera-Cayes
14147;TAKEDA GMBH;Byk-Gulden-Strasse;78467;Industriegebiet. Konstanz. Baden-Württemberg
14210;ESSETI FARMACEUTICI S.R.L.;Via  Raffaele De Cesare, 7;80132;Napoles
14552;VERTEX PHARMACEUTICALS (SPAIN) S.L.;Paseo de la Castellana 135, 7ª planta;28046;Madrid
23628;MELYFARMA S.L.;TELLEZ 1;28007;MADRID
23649;VIFOR FRESENIUS MEDICAL CARE RENAL PHARMA FRANCE;101 Terrasse Boieldieu, Tour Franklin, la Defense 8;92042;Paris La Defense Cedex
23871;INDUSTRIAS FARMACEUTICAS PUERTO GALIANO S.A.;C/Paris, 4 Poligono Europolis;28232;Las Rozas (Madrid)
23901;EXELTIS HEALTHCARE S.L.;Av. Miralcampo 7, Poligono Ind. Miralcampo;19200;Azuqueca de Henares (Guadalajara)
23988;GXMED HEALTHCARE GROUP S.L.;Av. Corts Catalanes 8;8173;Sant Cugat del Vallès
16957;BAYER HEALTHCARE S.A.S.;220 avenue de la Recherche;59120;Loos. Nord
18403;UMANUS PHARMACEUTICALS S.L.;C/Pradillo nº5;28002;Madrid
19693;VALNEVA SWEDEN AB;Se-105 21;SE-105 21;Estocolmo
19752;LABORATORIO TAU S.A.;C/Serrano Galvache, 56 Edificio Alamo;28033;Madrid
19781;PALEX MEDICAL S.A.;Jesus Serra Santamans, 5;8174;Sant Cugat del Valles
20131;ITF ABACUS FARMA S.A.;C/San Rafael, 3;28108;Alcobendas (Madrid)
20219;JUSTE FARMA. S.L.U.;Avda. San Pablo, 27;28823;Coslada
20472;BIOPHARM LTD.;5A Triaditza Str.;1000;Sofia
20729;LABORATORIOS THEA S.A.;C/Enric Granados, nº 86-88 2ª planta;8008;Barcelona
20837;INFECTOPHARM ARZNEIMITTEL UND CONSILIUM GMBH;Von Humboldt-Strasse, 1;64646;Heppenheim (bergstraße). Hessen.
27532;TRINITY SOLUTIONS S.L.;Paseo de la Habana, 134 piso 3º F;28036;Madrid
27695;CASA SCHMIDT S.A.;Avda. de las Nieves 4;28935;Mostoles (Madrid)
10596;TEVA GENERICOS ESPAÑOLA S.L.U.;C/ Anabel Segura, 11 Edificio Albatros B, 1 planta;28108;Alcobendas (Madrid)
10616;GEDEON RICHTER IBERICA S.A.;Sabino Arana, 28 planta 4º puerta 2º;8028;Barcelona
10641;CRUCELL ITALY S.R.L.;Via Zambeletti, 25;I-20021;Baranzate (MI)
