"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4096;"Urrácal";25.45;22550.18;735;1;85;381;195;304;74;50.3;10.5;28.6;8.5;59;"Reino Unido";35;45;1;4;3;"PARTIDO POPULAR";"-";"-";"-";"-";"18.899999999999999";"-";"-"
4097;"Velefique";66.39;41421.09;903;1;47.5;259;147;241;17;57.8;4.2;42.9;-16.5;5;"se";17;31;0;4;3;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"13.6";"-";"-"
4098;"Vélez-Blanco";441.03;115389.21;1070;5;131.7;1932;989;1441;473;50.1;12;28.4;-14;290;"Reino Unido";140;174;13;24;3;"PARTIDO POPULAR";"*";"*";"*";"*";"13.2";"17991";"15718"
4099;"Vélez-Rubio";281.77;82316.65;834;6;125.9;6548;3185;5538;1020;46;17.5;23.6;-7.7;962;"Reino Unido";317;402;52;92;26;"PARTIDO POPULAR";"*";"-";"*";"-";"16";"19500";"16785"
4100;"Vera";58.11;39215.71;96;8;83.7;18891;9629;18076;843;39.8;23.2;14.3;21.4;5091;"Marruecos";1228;1906;167;109;72;"PARTIDO POPULAR";"5";"*";"1579";"*";"16.100000000000001";"23306";"19306"
4101;"Viator";20.61;19666.99;70;2;7.2;6220;3164;5608;552;37.8;24.2;11.3;10.5;471;"Marruecos";412;507;57;32;33;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"17.8";"20524";"17593"
4102;"Vícar";64.29;54584.63;106;16;17.5;28020;15197;25269;2976;36.7;24.4;9.7;14.9;9206;"Marruecos";1895;2452;294;141;94;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"13.8";"17794";"15497"
4103;"Zurgena";71.63;41952.59;241;7;87.7;2943;1494;2876;96;51.9;12.9;35.2;-8.5;1273;"Reino Unido";269;370;20;51;3;"PARTIDO POPULAR";"-";"-";"-";"-";"16.7";"18427";"16155"
11001;"Alcalá de los Gazules";481.09;94182.21;167;1;56.7;5216;2688;4886;319;43;17.7;16.5;-5;100;"Reino Unido";143;135;44;51;26;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"26.2";"21094";"17894"
11002;"Alcalá del Valle";46.9;31948.79;619;1;135.5;5000;2513;4960;35;44.4;17.5;19.4;-5.3;62;"Paraguay";135;169;28;52;17;"IZQUIERDA UNIDA ANDALUCÍA";"-";"*";"-";"*";"28";"16587";"14756"
11003;"Algar";26.62;32911.31;205;1;74.4;1447;740;1304;140;45;19.3;20.7;-2.3;60;"Marruecos";44;60;10;18;5;"PARTIDO POPULAR";"*";"-";"*";"-";"24.6";"19016";"16486"
11004;"Algeciras";85.84;61255.19;18;2;104.7;123943;61031;123344;295;41.4;22.3;16.9;4.7;10104;"Marruecos";3997;5692;914;1015;411;"PARTIDO POPULAR";"8";"15";"1040";"525";"27.3";"29253";"23723"
11005;"Algodonales";134.21;56713.16;366;2;106.4;5497;2778;5098;400;45.3;17.7;21.4;-4.6;162;"Reino Unido";159;171;22;68;10;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"26.8";"18325";"16059"
11006;"Arcos de la Frontera";527.93;123065.77;183;11;60.8;30964;15454;28195;2758;42.3;20.1;16.8;-1.5;728;"Marruecos";761;810;185;278;137;"PARTIDO POPULAR";"18";"8";"606";"152";"29.9";"20094";"17240"
11007;"Barbate";143.47;72622.33;10;3;60.2;22806;11380;20542;2269;42.8;19.2;17.7;-0.1;741;"Marruecos";595;560;146;199;76;"UNIÓN ANDALUCISTA";"18";"26";"1561";"741";"29.6";"20182";"17300"
11901;"Benalup-Casas Viejas";60.43;47502.76;107;2;56.5;7201;3649;6992;172;42;19.6;15.9;-0.6;145;"Reino Unido";218;211;53;47;27;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"23.2";"19003";"16440"
11009;"Benaocaz";69.42;50656.42;793;2;104.1;716;387;649;65;46.2;13.4;18.3;-6.1;26;"Marruecos";40;68;6;6;1;"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"-";"-";"-";"-";"19.600000000000001";"-";"-"
11010;"Bornos";54.34;32398.8;160;2;70.4;7559;3768;7447;112;43.5;18.2;18.5;-6;123;"Marruecos";176;181;43;84;27;"IZQUIERDA UNIDA ANDALUCÍA";"-";"*";"-";"*";"30";"17427";"15352"
11012;"Cádiz";12.32;52029.85;3;1;0;112077;52863;111811;0;47.4;15.6;25.7;-8.8;2468;"Marruecos";3652;3356;521;1377;396;"PARTIDO POPULAR";"26";"15";"3122";"434";"24.1";"30344";"24721"
11013;"Castellar de la Frontera";178.93;64624.12;27;3;112.8;3033;1497;2989;31;41.5;20.8;14.8;-5;149;"Reino Unido";88;73;21;25;8;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"20.6";"23644";"19966"
11015;"Chiclana de la Frontera";205.67;62783.2;6;12;23.4;88770;44323;71709;17000;40.9;21.9;15;7.9;3866;"Reino Unido";2630;3831;710;566;379;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"22";"*";"8917";"*";"25.9";"24895";"20726"
11016;"Chipiona";32.95;25782.42;6;1;45.7;19662;9820;15421;4228;42;20.5;17.1;3.9;586;"Marruecos";539;662;160;163;66;"UNIDOS POR CHIPIONA";"12";"23";"2073";"538";"24.9";"19509";"16743"
11014;"Conil de la Frontera";88.61;50645.88;30;3;41.4;23708;11890;14638;9023;41.8;21;16.7;7.2;1421;"Marruecos";658;891;174;169;82;"UNIÓN ANDALUCISTA";"25";"36";"5330";"944";"18.8";"25778";"21216"
11011;"El Bosque";30.76;25014.33;285;1;89.1;2227;1124;2118;106;42.7;18.8;17.3;6.7;64;"Marruecos";111;128;18;18;7;"PARTIDO POPULAR";"*";"*";"*";"*";"18.8";"22471";"18920"
11018;"El Gastor";27.55;26925.28;609;1;116;1705;870;1463;234;46.1;15.4;21.5;-8.6;74;"Reino Unido";72;71;9;13;5;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"25.3";"17093";"15226"
11027;"El Puerto de Santa María";159.55;87004.91;4;30;18.7;90197;44064;81142;8671;42.2;21;17.8;0.4;3415;"Estados Unidos";2825;3353;644;707;323;"PARTIDO POPULAR";"14";"10";"1988";"271";"25.1";"29476";"24032"
11017;"Espera";123.53;46791.91;145;2;72.7;3799;1899;3776;26;43.8;18.1;19.4;-3.3;38;"Marruecos";85;58;23;38;15;"IZQUIERDA UNIDA ANDALUCÍA";"-";"-";"-";"-";"29.4";"17715";"15545"
11019;"Grazalema";122.45;54993.52;825;2;107.5;2009;994;1894;108;46.5;15;21.2;-8.1;21;"Reino Unido";56;68;11;21;7;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"20.8";"18060";"15659"
11020;"Jerez de la Frontera";1189.22;273180.24;45;27;29.4;214294;104636;210430;2801;42.6;20.9;17.9;0.4;6209;"Marruecos";5223;6413;1373;1802;694;"PARTIDO POPULAR";"33";"7";"3688";"240";"27.4";"26096";"21622"
11021;"Jimena de la Frontera";297.38;85874.1;145;4;100.3;6730;3424;6054;621;43.1;20.4;18.8;-11.4;776;"Reino Unido";329;346;53;62;13;"IZQUIERDA UNIDA ANDALUCÍA";"*";"*";"*";"*";"22.3";"21746";"18525"
11022;"La Línea de la Concepción";19.24;27058.46;3;3;122.6;64739;31908;61070;2703;42.1;20.6;17.4;-2.2;5017;"Reino Unido";2322;2739;532;655;252;"LA LINEA 100X100";"5";"5";"1360";"223";"38.6";"25755";"21862"
11008;"Los Barrios";331.49;101457.18;22;6;95.9;24372;12242;23415;804;40.3;22.7;14.4;4;921;"Marruecos";903;1073;172;177;107;"UNIÓN ANDALUCISTA";"5";"*";"844";"*";"21.3";"29027";"23604"
11023;"Medina Sidonia";487.15;155364.94;262;2;39.4;11771;5933;10564;1174;42.5;20;17;-1;273;"Reino Unido";281;361;78;97;42;"IZQUIERDA UNIDA ANDALUCÍA";"5";"*";"151";"*";"26.8";"20591";"17618"
11024;"Olvera";193.62;88166.33;603;1;123.8;7887;3883;7691;196;45.5;18.2;21.7;-6.1;291;"Reino Unido";263;209;56;79;16;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"24.2";"19631";"16944"
11025;"Paterna de Rivera";13.79;17408.7;123;1;41.1;5449;2824;5285;156;41.7;20.5;16.1;-3.7;46;"Marruecos";118;106;47;53;15;"PARTIDO POPULAR";"*";"-";"*";"-";"28.1";"18663";"16216"
11026;"Prado del Rey";48.6;33360.63;431;1;86.7;5672;2794;5479;155;44.4;18.1;19.1;-4.6;102;"Marruecos";181;193;40;49;19;"PARTIDO POPULAR";"*";"-";"*";"-";"25.9";"17699";"15405"
11028;"Puerto Real";196.19;98399.28;6;10;10.1;42042;21122;40782;1287;42.3;20;16.7;1.4;1229;"Senegal";1259;1460;201;286;143;"PARA LA GENTE";"*";"*";"*";"*";"24.4";"26431";"21918"
11029;"Puerto Serrano";79.88;56661.2;163;1;94.1;6921;3509;6820;109;39.3;22.6;12.7;-3.1;86;"Rumanía";126;99;52;58;30;"IZQUIERDA UNIDA ANDALUCÍA";"-";"-";"-";"-";"19.5";"14415";"13024"
11030;"Rota";84.13;53577.01;9;3;32.1;29813;14790;29011;664;42.7;19.8;17.6;1.4;1271;"Estados Unidos";1059;1383;245;282;130;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"8";"7";"2748";"163";"21.4";"27000";"22522"
11031;"San Fernando";30.69;43596.29;19;2;14;94072;45834;93927;0;43.2;20;18.9;-2.7;1468;"Marruecos";2679;2760;561;820;347;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"27.9";"27297";"22694"
11902;"San José del Valle";224.01;109133.39;140;4;54.7;4486;2278;4329;157;43.5;18.7;18.7;0.1;58;"Marruecos";98;139;34;34;15;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"25.9";"18340";"16026"
11903;"San Martín del Tesorillo";49.01;39369.67;12;2;121.4;2742;1415;2660;82;42.2;19.3;17.1;-4.8;620;"Rumanía";204;162;27;14;12;"IZQUIERDA UNIDA ANDALUCÍA";"-";"-";"-";"-";"21.2";"19409";"16840"
11033;"San Roque";146.93;73505.89;104;13;108.2;34070;16967;32637;1009;40.8;22.5;15.6;8.2;5059;"Reino Unido";1846;2473;236;237;98;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"7";"8";"1017";"297";"23.8";"32122";"26140"
11032;"Sanlúcar de Barrameda";170.5;67664.61;28;17;41.3;69819;34787;62606;7199;41.8;21.3;17.2;3.6;1314;"Marruecos";1040;1186;501;555;292;"IZQUIERDA UNIDA ANDALUCÍA";"8";"9";"752";"150";"27.4";"21189";"17982"
11034;"Setenil de las Bodegas";82.16;53674.3;560;1;134.4;2651;1370;2009;629;45;17.4;20.6;-8.6;23;"Marruecos";85;67;10;35;8;"UNIÓN ANDALUCISTA";"*";"-";"*";"-";"21.6";"18886";"16603"
11035;"Tarifa";419.93;106919.74;8;8;104.7;18629;9330;16309;2312;43.1;18.4;16.9;3.4;1829;"Italia";730;835;111;175;71;"PARTIDO POPULAR";"25";"36";"1810";"1035";"17";"25486";"21215"
11036;"Torre Alháquime";17.36;19331.17;482;1;127.4;798;403;739;60;46.7;15.3;23.6;-0.7;8;"se";27;20;9;7;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"31.4";"-";"-"
11037;"Trebujena";70.81;41484.7;71;1;50.5;7014;3518;6930;70;43.4;19.8;19.4;-1.1;153;"Marruecos";167;175;57;68;22;"IZQUIERDA UNIDA ANDALUCÍA";"-";"*";"-";"*";"22.8";"21208";"18162"
11038;"Ubrique";69.78;41237.86;335;2;99.8;16352;8049;16087;276;44.6;18.8;20.4;-2.8;332;"Perú";310;374;104;150;59;"PARTIDO POPULAR";"*";"-";"*";"-";"18.5";"21628";"18248"
11039;"Vejer de la Frontera";263.13;88816.49;167;10;51.7;12914;6431;10903;1961;43.2;19.3;17.7;-1.6;561;"Reino Unido";308;435;70;110;56;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"9";"12";"318";"341";"25.4";"20396";"17494"
11040;"Villaluenga del Rosario";59.48;39834.36;867;1;109.9;480;241;479;1;45.6;17.9;22.9;-1.9;4;"se";16;34;1;6;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"15.2";"-";"-"
11041;"Villamartín";211.99;73949.1;168;1;81.9;12250;6185;11915;250;42;20.1;16.2;-2.4;187;"Marruecos";283;386;88;104;54;"UNIÓN ANDALUCISTA";"-";"*";"-";"*";"28.2";"20019";"17145"
11042;"Zahara";72.51;39251.3;509;1;106.3;1363;686;1190;172;47.1;15.7;24.1;-9.3;35;"Nicaragua";47;61;2;20;6;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"21.4";"17889";"15741"
14001;"Adamuz";334.88;98717.5;244;2;32.3;4085;2075;3774;318;45.2;18.4;22.8;-7.2;97;"Rumanía";86;84;36;44;18;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"13.5";"15906";"14089"
14002;"Aguilar de la Frontera";165.91;115861.53;373;1;47.4;13263;6591;13041;241;44;18.7;19.9;-2.8;278;"Marruecos";259;304;114;143;51;"CON ANDALUCÍA";"-";"-";"-";"-";"18.2";"18538";"16023"
14003;"Alcaracejos";175.6;83635.95;608;1;70.4;1496;730;1405;88;48.3;15.8;27.7;-3.4;24;"Marruecos";50;71;6;20;8;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"17.3";"20260";"17267"
14004;"Almedinilla";55.48;37312.22;628;5;92.7;2331;1157;2107;233;45.8;16.5;22.1;-6.9;114;"Marruecos";105;102;12;36;5;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"14.7";"16241";"14447"
14005;"Almodóvar del Río";172.52;78293.94;111;2;24.2;7982;4001;6493;1502;42.3;21.5;18.8;1.2;127;"Marruecos";294;254;65;83;30;"CON ANDALUCÍA";"-";"*";"-";"*";"25.6";"18041";"15682"
14006;"Añora";112.56;88025.33;625;1;75.9;1515;746;1482;25;47.1;18.7;25.3;-3;15;"Rumanía";43;57;8;16;5;"PARTIDO POPULAR";"-";"-";"-";"-";"16.399999999999999";"25017";"20604"
14007;"Baena";362.34;103080.97;428;2;60.1;18459;9232;17972;561;42.6;20.3;18.5;-7.4;676;"Rumanía";575;438;146;181;51;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"18.600000000000001";"18447";"15916"
14008;"Belalcázar";356.01;115846.31;491;1;97.8;3129;1541;3017;121;47.3;15.5;26.1;-9.2;70;"Rumanía";108;121;19;48;17;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"27.9";"18459";"15961"
14009;"Belmez";207.41;73272.85;528;4;66.8;2829;1369;2794;8;48.7;14.5;27.1;-9.5;48;"Perú";105;91;20;41;12;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"33.6";"23083";"19590"
14010;"Benamejí";53.33;37348.48;455;2;82.7;4973;2452;4902;77;42.7;20.6;18.1;-3.6;97;"Marruecos";101;128;29;50;13;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"20.399999999999999";"16515";"14567"
14012;"Bujalance";124.76;68492.33;346;2;39.5;7190;3595;7186;0;44.3;18.5;21.2;-8.1;132;"Rumanía";169;163;58;68;25;"PARTIDO POPULAR";"*";"-";"*";"-";"19.600000000000001";"17458";"15176"
14013;"Cabra";229.16;67378.78;451;3;64.9;20065;9756;18899;1171;45.1;17.9;21.3;-4.9;686;"Honduras";476;624;145;251;87;"PARTIDO POPULAR";"*";"*";"*";"*";"18.7";"21288";"18023"
14014;"Cañete de las Torres";103.47;64559.67;322;1;44.5;2827;1449;2822;7;48;15;25.5;-8.5;75;"Rumanía";90;90;25;41;16;"PARTIDO POPULAR";"-";"-";"-";"-";"16.399999999999999";"17032";"14906"
14015;"Carcabuey";79.78;37845.31;624;2;82.5;2330;1187;2185;133;47.4;14.8;23.4;-11;52;"Rumanía";82;66;14;30;7;"CON ANDALUCÍA";"-";"*";"-";"*";"15.6";"17415";"15182"
14016;"Cardeña";512.63;131681.61;748;4;73.8;1438;725;1375;62;49.6;13.7;28.2;-12.8;36;"Georgia";44;35;7;18;7;"CON ANDALUCÍA";"-";"-";"-";"-";"18.600000000000001";"17619";"15361"
14019;"Castro del Río";219.64;91887.49;237;2;42;7662;3773;7630;35;44.6;17.7;21;-4.6;207;"Rumanía";169;176;68;91;36;"PARTIDO POPULAR";"-";"*";"-";"*";"16.7";"18771";"16201"
14020;"Conquista";38.53;26917.04;597;1;87;372;188;370;1;54.3;8.3;38.7;-17.6;9;"Rumanía";11;15;1;4;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.600000000000001";"-";"-"
14021;"Córdoba";1254.91;232919.62;111;69;0;324418;155649;316680;7083;44.1;19.5;20.3;-2.8;8153;"Marruecos";6592;9059;2227;3025;1278;"PARTIDO POPULAR";"64";"34";"6504";"922";"22.3";"28513";"23164"
14022;"Doña Mencía";15.22;17815.44;590;1;61.2;4516;2183;4511;0;45.2;17.4;21.8;-8.2;44;"Marruecos";94;50;33;45;15;"IZQUIERDA UNIDA CON ANDALUCÍA";"-";"*";"-";"*";"15.6";"17862";"15629"
14023;"Dos Torres";129.07;103326.9;586;1;79.7;2391;1202;2346;37;45.4;18.4;22.3;-4.8;25;"Marruecos";64;56;23;23;10;"PARTIDO POPULAR";"*";"-";"*";"-";"17.3";"22199";"18605"
14018;"El Carpio";46.66;36121.96;178;3;28.2;4326;2133;4287;40;44.5;19.2;21;-4.4;53;"Marruecos";113;107;35;49;16;"PARTIDO POPULAR";"*";"-";"*";"-";"21.2";"20880";"17795"
14034;"El Guijo";67.26;44380.25;566;1;85.7;340;177;327;14;51.3;14.7;34.1;-16.3;5;"se";7;10;3;6;1;"PARTIDO POPULAR";"-";"-";"-";"-";"18.5";"-";"-"
14074;"El Viso";254.4;138401.88;575;1;81.2;2506;1273;2462;45;48;14.6;26.9;-8.5;33;"Nicaragua";99;109;25;33;10;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"21.2";"18544";"16120"
14024;"Encinas Reales";33.35;38295.29;444;2;80.5;2255;1106;2197;55;44.8;18.3;21.4;-5.2;55;"Marruecos";55;56;16;22;13;"PARTIDO POPULAR";"-";"-";"-";"-";"23.1";"16641";"14677"
14025;"Espejo";56.64;40050.45;390;1;34.9;3212;1602;3206;3;48.7;14.4;28;-8.9;62;"Rumanía";61;62;22;60;15;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"16.3";"16811";"14790"
14026;"Espiel";437.27;163668.46;545;4;46.9;2386;1203;2107;279;47.8;15.8;27.6;-1.7;55;"Rumanía";93;120;12;61;8;"PARTIDO POPULAR";"-";"*";"-";"*";"22.5";"22132";"18801"
14027;"Fernán-Núñez";29.79;26513.99;314;1;27.3;9612;4752;8980;631;44;19.5;20.1;-1.8;145;"Rumanía";218;231;73;94;34;"CON ANDALUCÍA";"-";"-";"-";"-";"18.600000000000001";"22363";"18817"
14901;"Fuente Carreteros";9.35;21244.3;155;1;48.6;1088;557;1069;20;44.7;18.3;22.3;-7;26;"Rumanía";39;25;8;15;2;"CON ANDALUCÍA";"-";"-";"-";"-";"15.2";"14453";"13121"
14028;"Fuente la Lancha";7.83;16093.3;558;1;76.9;354;179;351;3;47.9;14.4;25.4;-10.8;2;"se";12;39;2;1;1;"PARTIDO POPULAR";"-";"-";"-";"-";"26.6";"-";"-"
14029;"Fuente Obejuna";591.61;124867.25;625;15;85.2;4424;2293;4324;91;49.5;12.6;28.1;-13;53;"Rumanía";132;140;15;95;7;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"32.1";"19191";"16545"
14030;"Fuente Palmera";65.38;102296.25;158;8;41.9;9952;4970;9129;721;41.6;21.7;17.6;-0.1;252;"Rumanía";314;274;91;94;33;"CON ANDALUCÍA";"-";"*";"-";"*";"16.2";"16965";"14913"
14031;"Fuente-Tójar";23.65;25713.57;607;4;81.7;694;335;690;2;48;16.9;25.8;-11.1;32;"Reino Unido";23;54;2;14;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"18.100000000000001";"-";"-"
14033;"Guadalcázar";72.36;54979.67;160;2;23.5;1534;784;1505;28;41.1;21.3;15.4;-4;15;"Francia";83;78;9;14;8;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"19.8";"18660";"16104"
14035;"Hinojosa del Duque";531.52;142646.33;545;1;89.4;6578;3241;6476;103;47.8;15.5;26.5;-8.4;80;"Rumanía";130;153;37;98;31;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"24.5";"19125";"16452"
14036;"Hornachuelos";909.41;195176.13;149;5;46.1;4421;2203;4210;205;44.3;18.3;20.5;-5.2;83;"Rumanía";124;109;34;54;17;"GRUPO INDEPENDIENTE DE HORNACHUELOS";"-";"*";"-";"*";"19.7";"17934";"15579"
14037;"Iznájar";136.47;61337.26;518;8;95.3;3804;1932;2638;1166;49.9;13.2;28.8;-15.1;523;"Reino Unido";288;140;14;45;22;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"12";"15089";"13539"
14017;"La Carlota";79.04;56709.74;214;11;30.1;14290;7105;10627;3631;41.7;22;17.7;4.2;472;"Rumanía";458;464;115;117;72;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"17.600000000000001";"20247";"17281"
14032;"La Granjuela";56.16;33434.38;553;1;84.5;412;198;394;16;50.4;14.1;28.9;-18.8;10;"Brasil";18;21;2;4;1;"PARTIDO POPULAR";"-";"*";"-";"*";"33.5";"-";"-"
14902;"La Guijarrosa";45.66;40122.87;291;1;32.2;1344;687;640;696;44.3;18.8;20.5;-2.2;20;"Rumanía";27;26;9;13;5;"CANDIDATURA INDEPENDIENTE DE LA GUIJARROSA";"-";"-";"-";"-";"18";"15784";"14039"
14057;"La Rambla";135.81;118449.57;327;1;34.6;7482;3731;7302;171;43.9;18.3;19.4;-1.3;189;"Rumanía";190;141;57;85;33;"PARTIDO POPULAR";"*";"*";"*";"*";"13.8";"19737";"16832"
14065;"La Victoria";19.34;37589.75;264;2;26.7;2313;1150;2264;48;43;21.4;19.4;-2.6;28;"Marruecos";73;84;20;26;12;"VAMOS";"-";"*";"-";"*";"21.2";"19817";"17097"
14011;"Los Blázquez";102.78;46124.87;595;1;93.2;645;324;640;3;47.1;14.9;26.7;-9.1;9;"Rumanía";29;20;5;9;7;"PARTIDO POPULAR";"-";"-";"-";"-";"27.6";"-";"-"
14038;"Lucena";351.93;98375.79;486;10;66.3;42856;21282;41377;1436;41.1;21.9;16;0.1;1820;"Rumanía";1223;1453;334;370;199;"PARTIDO POPULAR";"*";"*";"*";"*";"20.2";"21253";"17994"
14039;"Luque";140.68;63778.2;662;2;68.2;2863;1439;2801;59;47.2;14.4;24.5;-11.6;57;"Rumanía";120;76;21;53;9;"PARTIDO POPULAR";"-";"*";"-";"*";"19.5";"16847";"14893"
14040;"Montalbán de Córdoba";33.65;37803.73;279;1;37.6;4472;2198;4456;9;45.5;18.2;22.5;-3;72;"Marruecos";77;77;26;47;18;"CON ANDALUCÍA";"-";"-";"-";"-";"11.5";"18519";"15972"
14041;"Montemayor";57.91;43455.83;388;1;30.9;3894;1972;3537;335;44.9;18.5;21.6;-6.2;138;"Rumanía";61;92;31;30;18;"AGRUPACIÓN DE ELECTORES CONTIGO MONTEMAYOR";"*";"*";"*";"*";"18.399999999999999";"20217";"17270"
14042;"Montilla";169.29;70426.58;374;2;40.8;22300;11042;20984;1314;45;17.5;21.5;-5.6;714;"Rumanía";552;535;137;240;97;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"5";"*";"222";"*";"17.7";"22278";"18740"
14043;"Montoro";585.84;166341.22;195;1;42.6;9122;4508;8290;835;43.1;20.2;19.5;-6.4;264;"Rumanía";223;162;62;106;32;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"17.3";"19292";"16618"
14044;"Monturque";32.69;30615.1;376;2;54.5;1930;971;1843;86;44;18.6;19.3;-3.5;17;"Marruecos";57;63;18;16;4;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"18.100000000000001";"16335";"14424"
14045;"Moriles";19.58;32625.47;376;1;57.7;3659;1842;3311;347;43;19.8;17.7;-6;54;"Rumanía";82;86;26;30;17;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"21.2";"16945";"14963"
14046;"Nueva Carteya";69.16;44286.19;432;1;49;5318;2712;5190;127;43.9;18.4;19.2;-5.4;61;"Rumanía";105;108;44;48;24;"IZQUIERDA UNIDA CON ANDALUCÍA";"-";"*";"-";"*";"15.5";"14988";"13408"
14047;"Obejo";214.61;84864.85;703;3;39;2082;1099;1943;133;42.2;18.9;16.3;1.4;60;"Rumanía";122;158;11;17;10;"PARTIDO POPULAR";"-";"-";"-";"-";"22.4";"22269";"18947"
14048;"Palenciana";16.13;20039.97;393;1;88.3;1439;736;1441;0;44.8;18.1;21.6;-10;65;"Marruecos";37;27;10;18;11;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.100000000000001";"17200";"15087"
14049;"Palma del Río";200.23;85705.83;56;15;54.1;20746;10282;20426;262;43.1;19.7;18.8;-3.4;1279;"Rumanía";662;600;143;187;79;"PARTIDO POPULAR";"*";"6";"*";"152";"20.3";"19757";"16890"
