"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4023;"Beires";38.8;37727;930;1;47.8;146;80;142;2;58.2;4.8;37;24.3;7;"Marruecos";10;21;0;0;0;"PARTIDO POPULAR";"-";"-";"-";"-";"-";"-";"-"
4024;"Benahadux";16.6;18993;114;2;11.1;4650;2297;4377;266;38.4;25.8;13.1;9.6;289;"Marruecos";268;303;36;22;11;"PARTIDO POPULAR";"-";"-";"-";"-";"15.6";"21725";"18395"
4026;"Benitagla";6.39;14147.02;945;1;60.1;59;34;58;0;62;5.1;37.3;-32.1;1;"se";4;4;1;0;0;"PARTIDO POPULAR";"-";"-";"-";"-";"-";"-";"-"
4027;"Benizalón";31.95;32031.09;927;2;56.8;251;144;208;46;53.9;8;33.1;-12.2;30;"Reino Unido";16;19;1;6;2;"PARTIDO POPULAR";"-";"-";"-";"-";"17.100000000000001";"-";"-"
4028;"Bentarique";11.33;28426.02;326;1;29.3;242;131;236;5;52.1;14.5;36;-14;3;"se";8;12;1;4;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"21.9";"-";"-"
4029;"Berja";185.66;66420.51;335;12;50.2;12884;6657;12657;260;40.7;21.2;15.1;1.4;1925;"Rumanía";469;608;102;121;41;"PARTIDO POPULAR";"*";"-";"*";"-";"17.7";"18039";"15600"
4030;"Canjáyar";66.87;57959.96;609;2;41.2;1142;592;1075;78;52.7;11.6;33.1;-19.1;41;"Reino Unido";63;60;3;13;4;"PARTIDO POPULAR";"-";"*";"-";"*";"27.3";"15952";"14120"
4031;"Cantoria";78.89;49666.48;382;14;84.5;3592;1820;3004;569;50.3;14.1;29.9;-10.7;987;"Reino Unido";253;320;15;38;5;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.5";"19849";"16966"
4032;"Carboneras";95.6;59517.04;11;18;64.1;8373;4307;8144;231;41.6;20.9;16.9;1.6;1123;"Marruecos";348;517;59;66;35;"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"9";"12";"343";"293";"16.100000000000001";"24589";"20492"
4033;"Castro de Filabres";29.21;29595.35;951;1;47.4;109;58;109;0;56.8;3.7;37.6;-26.8;6;"Rumanía";6;2;0;3;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"-";"-";"-"
